Item Name,Quantity,Category,Model/Brand,Serial Numbers,Location,Status,Purchase Date,Purchase Price,Last Maintenance,Warranty Expiration,Notes,Assigned,Asset Number,Supplier
Mac Studio,,Computer,Apple,Y22WGVHQXR,Studio Office,In Use,,1999,,,,,,Apple
Mac Studio,,Computer,Apple,DQN7J16JY6,Eric's Office,In Use,,1999,,,,,,Apple
Marshall CV503 Miniature Full-HD Camera,,Video,Marshall,15520001CA0838,Storage Cabnet,Available,,465,,,,,,
Marshall CV503 Miniature Full-HD Camera,,Video,Marshall,15520001CA0946,Josh's Set,In Use,,465,,,,,,
"NANO85 75"" 4K Smart NanoCell TV",,Display,LG,108RMUY1B270,,Available,,1799.99,,,,,,
RodeCaster Pro ll,,Audio,Rode,GV0088545,Studio Office,Available,,599.99,,,,,WPS0071,
Scarlett 18i20,,Audio,Foucsrite,S09YQWJ4B07ED5,Studio,In Use,,699,,,,,,
SM7B,,Audio,Shure,,Josh's Set,In Use,,439,,,,,,
SM7B,,Audio,Shure,,Storage Cabnet,Available,,439,,,,,,
SmartView Duo,,Video,BlackMagic,2026786,Studio Office,In Use,,576.86,,,,,,BlackMagic
Sony A7III Camera,,Camera,Sony,6336370,Storage Cabnet,Available,,1999.99,19-Jun-25,,,,CAM-001,
Sony A7III Camera,,Camera,Sony,6342079,Storage Cabnet,Available,,1999.99,19-Jun-25,,,,CAM-001,
Sony A7IIII Camera,,Camera,Sony,6196532,Josh's Set,In Use,,2498,19-Jun-25,,,,CAM-001,
Studio Display,,Display,Apple,6YT9J92Q7K,Josh's Office,In Use,,1599,,,,,,
Studio Panel MKII LED Luminaire,,Lighting,Phillips,PLSTUPNL002285,Studio,Available,,599,,,,,,
Studio Panel MKII LED Luminaire,,Lighting,Phillips,PLSTUPNL002283,Studio,Available,,599,,,,,,
UltraStudio Monitor 3G,,Video,Blackmagic,11377160,Studio,In Use,,139,,,,,,
UltraStudio Monitor 3G,,Video,Blackmagic,11182094,Studio,In Use,,139,,,,,,
UltraStudio Recorder 3G,,Video,Blackmagic,10018754,Studio,In Use,,139,,,,,,
Vibe Board 75”,,Video,Vibe,V75B5445520158,Studio,Available,,7899,,,,,,
Vizio D50u-d1 4K LED Smart TV,,Display,Vizio,LTC7UCBS2850359,Studio,In Use,,729.99,,,,,,
Vizio E550i-B2,,Display,Vizio,LWZ2PPAQ2605860,Josh's Office,In Use,,699.99,,,,,,
Wireless HDMI Receiver ,,Video,J5 Create ,WO1A2409000786RX,Studio,In Use,,139,,,,,,
Wireless HDMI Transmiter,,Video,J5 Create ,WO1A2409000786TX,Studio,In Use,,0,,,,,,
